( data_00001 "All dies entspricht den Grundsätzen, die wir stets verteidigt haben." ) 
( data_00002 "Dennoch, Frau Präsidentin, wurde meinem Wunsch nicht entsprochen." ) 
( data_00003 "Ich hoffe, daß dort in Ihrem Sinne entschieden wird." ) 
( data_00004 "Lieber Kollege, wir werden das prüfen." ) 
( data_00007 "Zu Montag und Dienstag liegen keine Änderungen vor." ) 
( data_00008 "Nur Ihre Fraktion hat das vertreten, was Sie jetzt sagen." ) 
( data_00012 "Es gibt auch Beschlüsse gegen eine solche Steuer." ) 
( data_00027 "Darüber hinaus wird auf die Notwendigkeit einer verstärkten Transparenz hingewiesen." ) 
( data_00035 "Es ist notwendig, die Programme der unterschiedlichen Ziele zu koordinieren." ) 
( data_00036 "Das fordern wir heute vom Herrn Kommissar." ) 
( data_00041 "Ich fordere das Haus auf, diesen Änderungen zuzustimmen." ) 
( data_00042 "Soviel zum Ziel der Leitlinien." ) 
( data_00045 "Das ging zu Lasten der Regionalpolitik." ) 
( data_00056 "Alles zum Nutzen für den Verbraucher." ) 
( data_00058 "Der eine ist das Thema Subsidiarität." ) 
( data_00059 "Um zu funktionieren, braucht der Markt Regeln." ) 
( data_00060 "Wir als europäische Sozialdemokraten sind für eine soziale Marktwirtschaft." ) 
( data_00061 "Ich kann auf die jüngsten Beispiele verweisen." ) 
( data_00062 "Hierzu hat auch die Wettbewerbspolitik im Rahmen dieser Möglichkeiten beigetragen." ) 
( data_00067 "Zunächst in bezug auf die Kohärenz der Anwendung der Politik." ) 
( data_00069 "Diese Modernisierung wurde insbesondere in fünf Punkten notwendig." ) 
( data_00070 "Es war also notwendig, die wirtschaftliche Analyse einzuführen." ) 
( data_00074 "Die Vollendung des Binnenmarktes ist nämlich noch nicht abgeschlossen." ) 
( data_00076 "Mich würde der Standpunkt von Herrn Monti dazu interessieren." ) 
( data_00083 "Ich bin mit dem Berichterstatter in zwei Fragen einverstanden." ) 
( data_00087 "Denn darum geht es bei der Überwachung und Durchführung." ) 
( data_00093 "Bislang haben das nach fünf Jahren nur vier getan." ) 
( data_00114 "Ich frage mich, ob dies die korrekte Vorgehensweise ist." ) 
( data_00121 "Deshalb beschränken wir uns darauf, einige Aspekte hervorzuheben." ) 
( data_00124 "Wir erwarten die Ergebnisse mit großem Interesse." ) 
( data_00126 "Die Zeit für Entschließungen ist vorbei, jetzt muß gehandelt werden." ) 
( data_00128 "Hinzu kommt das Fehlen von Transparenz." ) 
( data_00133 "Es handelt sich dabei um eine ökologische Katastrophe." ) 
( data_00135 "Wie ich festgestellt habe, reichen die derzeitigen Regelungen eigentlich aus." ) 
( data_00143 "Auf diesem Gebiet schulden wir der Öffentlichkeit eine Antwort." ) 
( data_00148 "Malta und Zypern haben ihre Aufnahme in die Gemeinschaft beantragt." ) 
( data_00153 "Sie haben das Vertrauen ihrer Mitbürger verdient." ) 
( data_00155 "Ich sage, sie haben einen Anspruch auf Solidarität." ) 
( data_00156 "Natürlich braucht es in diesem Zusammenhang Solidarität." ) 
( data_00157 "Natürlich bin ich dafür, daß wir nach Möglichkeit helfen." ) 
( data_00162 "Wir müssen zudem eine hohe Qualität und Transparenz gewährleisten." ) 
( data_00172 "Auf jeden Fall wird daran gearbeitet." ) 
( data_00173 "Mit diesen Regelungen wollen wir Lücken bei geltenden Gesetzen schließen." ) 
( data_00180 "Fragestunde (Kommission) Nach der Tagesordnung folgt die Fragestunde." ) 
( data_00190 "Was jedoch medizinische Untersuchungen betrifft, so fehlen mir die Informationen." ) 
( data_00191 "Hiermit fordere ich China ein weiteres Mal dazu auf." ) 
( data_00196 "Diesem ökologischen Aspekt sollten wir auch in Zukunft Vorrang einräumen." ) 
( data_00197 "Vielen Dank, Herr Patten, für Ihre heutigen Beiträge." ) 
( data_00202 "Sie betrifft die Arbeitsgruppe der Kommission zu Fragen der Gleichstellung." ) 
( data_00203 "Die Sitzungen der Gruppe sind öffentlich." ) 
( data_00209 "Vielen Dank für die Antwort, Frau Kommissarin." ) 
( data_00216 "Nun möchte ich Ihre Aufmerksamkeit auf zwei Dinge lenken." ) 
( data_00217 "Das müssen wir in Ordnung bringen." ) 
( data_00223 "Es wurde ein Verhaltenskodex für Kommissionsmitglieder und deren Büros verabschiedet." ) 
( data_00225 "Kommissionsmitglied Kinnock wird morgen seine Mitteilung zur Reform vorstellen." ) 
( data_00237 "Es gilt also das Prinzip der zwei Schlüssel." ) 
( data_00238 "Wer alles kontrollieren muß, kontrolliert eben am Ende gar nichts." ) 
( data_00250 "Die Kommission hat nicht genug Personal." ) 
( data_00256 "Im Bericht fällt der Begriff der Transparenz besonders auf." ) 
( data_00258 "Im Juni wird der vollständige Vorschlag für Veränderungen vorliegen." ) 
( data_00270 "Die Frage der Sicherheit betrifft nicht nur Israel." ) 
( data_00276 "Das ist ein Stück Übertragung von Macht." ) 
( data_00277 "Aber wir müssen das endlich lösen." ) 
( data_00296 "Ich verstehe, daß Portugal dabei betroffen ist." ) 
( data_00309 "Es ist nur zu offensichtlich, daß Maßnahmen ergriffen werden müssen." ) 
( data_00313 "Die Aussprache ist zu Beginn unserer Tagesordnung vorgesehen." ) 
( data_00318 "Das Parlament muß meines Erachtens diese demokratischen Kräfte unterstützen." ) 
( data_00325 "Wir müssen schnell, entschieden und gemeinsam reagieren." ) 
( data_00332 "Dieses Parlament steht nicht für Geld und Güter." ) 
( data_00339 "Die Mitteilung verfolgt im wesentlichen zwei Ziele." ) 
( data_00345 "Statt dessen sollte das Vorsorgeprinzip Vorrang haben." ) 
( data_00347 "Dazu gehören beispielsweise Gesundheit, Energie, Kultur, Verkehr sowie Fremdenverkehr." ) 
( data_00354 "Ich wünsche Ihnen, Herr Ratspräsident, viel Erfolg." ) 
( data_00357 "Aber darüber sollen wir Wähler nicht länger entscheiden dürfen." ) 
( data_00358 "Darüber wird ja auch noch weiter zu sprechen sein." ) 
( data_00378 "Ich will mich bei meinen Ausführungen auf zwei Bereiche beschränken." ) 
( data_00389 "Auf jeden Fall gilt dies de facto als unmöglich." ) 
( data_00393 "Aber ich möchte mich auf vier Punkte konzentrieren." ) 
( data_00415 "Zweitens, Förderung von Austausch, Mobilität und Ausbildung im kulturellen Bereich." ) 
( data_00425 "Allein dabei fällt eine riesige Menge an Abfall an." ) 
( data_00444 "In unserem Land ist dies gelungen." ) 
( data_00450 "Es hat im Änderungsantrag nichts zu suchen." ) 
( data_00455 "Zwei Aspekte sollten jedoch in diesem Text unbedingt berücksichtigt werden." ) 
( data_00474 "Am Freitag dieser Woche haben wir einziges Thema." ) 
( data_00476 "Diesbezüglich besteht meiner Meinung nach Übereinstimmung." ) 
( data_00477 "Technische Unterstützung ist aber trotzdem notwendig." ) 
( data_00487 "Diese Phase ist heute eindeutig überwunden." ) 
( data_00493 "Nun zu Information und Ausbildung." ) 
( data_00502 "Der zweite Punkt sind Flexibilität und Vereinfachung." ) 
( data_00515 "Die Erweiterung ist eine Herausforderung politischer Natur." ) 
( data_00521 "Das haben Sie in ihrem Programm ja auch erwähnt." ) 
( data_00524 "Wir könnten hier gemeinsam mit Ihnen Initiativen ergreifen." ) 
( data_00525 "Auf der Regierungskonferenz müßten auch Schlußfolgerungen gezogen werden." ) 
( data_00532 "Dazu schlage ich drei Elemente vor." ) 
( data_00539 "Ich möchte noch einige Worte zu Afrika sagen." ) 
( data_00545 "Aber die spielen ja in Ihrer Strategie keinerlei Rolle." ) 
( data_00549 "Im Grunde geht es um die Anwendung des Subsidiaritätsprinzips." ) 
( data_00553 "Keinen Euro mehr und keinen weniger." ) 
( data_00556 "Ohne Liberalisierung kommen wir mit einer vernünftigen Verkehrspolitik nicht voran." ) 
( data_00581 "Vom Parlament wurden fünf Änderungsanträge vorgelegt." ) 
( data_00585 "Sie sind beispielsweise nicht auf Antibiotika eingegangen." ) 
( data_00589 "Das ist auch heute noch Thema." ) 
( data_00590 "Zum Abschluß noch eine kurze Bemerkung, Herr Byrne." ) 
( data_00597 "Doch das möchte das Unternehmen lieber vermeiden." ) 
( data_00599 "Wir haben jetzt die Möglichkeit, etwas zu ändern." ) 
( data_00600 "Es ist an der Zeit, sich auf Vermittlung einzustellen." ) 
( data_00631 "Darum ist es wichtig, daß hier eine Übereinstimmung besteht." ) 
( data_00633 "Soweit, Herr Abgeordneter, meine Antwort auf Ihre Frage." ) 
( data_00645 "Ich weiß allerdings nicht genau, wie groß diese ist." ) 
( data_00646 "Damit ist die Fragestunde mit Anfragen an die Kommission beendet." ) 
( data_00678 "Deshalb muß betont werden, daß Sozialpolitik eine nationale Angelegenheit ist." ) 
( data_00689 "Nach Ansicht der Kommission hat sie zügig und präzise gearbeitet." ) 
( data_00692 "Natürlich mit der inneren Dynamik der Europäischen Union." ) 
( data_00696 "Dies ist Teil der Lösung." ) 
